dog,nseg,kb_avg,kb_total,coi
3993,2513,951737,378.725,0.431869
3998,2850,993724,348.675,0.450921
4003,2188,503495,230.116,0.22847
4004,2178,498432,228.849,0.226173
4005,2830,887377,313.561,0.402664
4011,2545,576052,226.347,0.261394
4013,2399,550861,229.621,0.249964
4015,2834,810549,286.009,0.367802
4031,2440,1.0102e+06,414.015,0.458397
4040,2425,554331,228.59,0.251538
4043,2999,931222,310.511,0.42256
4045,3156,1.0102e+06,320.088,0.458397
4054,2404,539562,224.444,0.244836
4063,2109,455965,216.2,0.206903
4066,2741,782468,285.468,0.35506
4068,2780,986634,354.904,0.447704
4079,2292,534844,233.353,0.242696
4172,2317,527862,227.821,0.239527
4173,2100,456100,217.19,0.206964
4174,2330,519569,222.991,0.235764
4196,2440,534566,219.084,0.242569
4199,2538,793865,312.792,0.360231
4207,2445,563157,230.33,0.255543
4213,2392,555635,232.289,0.25213
4214,2723,831740,305.45,0.377418
4217,766,141605,184.863,0.0642559
4218,2472,552091,223.338,0.250522
4228,2239,507162,226.513,0.230134
4248,2667,828691,310.72,0.376034
4267,2239,895269,399.852,0.406245
4276,2684,833151,310.414,0.378058
4277,2466,889190,360.58,0.403487
4280,2277,511552,224.661,0.232126
4281,2610,595117,228.014,0.270046
4289,2267,952208,420.03,0.432082
4300,2576,745504,289.404,0.338287
4303,2613,766722,293.426,0.347915
4304,2468,741821,300.576,0.336615
4305,2173,478831,220.355,0.217279
4316,2190,491533,224.444,0.223042
4318,2535,612892,241.772,0.278111
4319,2175,547618,251.778,0.248492
4320,2237,517333,231.262,0.23475
4327,2639,837617,317.4,0.380085
4340,2397,521503,217.565,0.236642
4348,1500,274037,182.692,0.124349
4371,2540,1.04979e+06,413.304,0.476362
4383,2309,767563,332.422,0.348296
4394,2427,580314,239.108,0.263328
4414,2259,1.25907e+06,557.356,0.571327
4419,1088,209433,192.494,0.0950342
4426,2411,565215,234.432,0.256477
4441,2310,549001,237.663,0.24912
4471,1949,402726,206.632,0.182745
4480,1745,329910,189.06,0.149703
4486,2414,595089,246.516,0.270033
4501,2441,584411,239.415,0.265188
